Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue
1,Peoria,Arizona,Region 2,Old,2601,48610
2,Midland,Texas,Region 2,Old,2727,45689
3,Spokane,Washington,Region 2,Old,2768,49554
4,Denton,Texas,Region 2,Old,2759,38284
5,Overland Park,Kansas,Region 2,Old,2869,59887
6,Yonkers,New York,Region 1,Old,3080,53827
7,Birmingham,Alabama,Region 1,Old,3110,60338
8,Antioch,California,Region 2,Old,2593,19569
9,Worcester,Massachusetts,Region 1,Old,2675,59840
10,Rochester,New York,Region 1,Old,2984,64906
11,Rialto,California,Region 2,Old,2541,16860
12,Santa Maria,California,Region 2,Old,2651,21988
13,Las Cruces,New Mexico,Region 2,Old,2895,19888
14,Jackson,Mississippi,Region 1,Old,3466,54701
15,Hillsboro,Oregon,Region 2,Old,2686,18471
16,Temecula,California,Region 2,Old,2795,16690
17,Tallahassee,Florida,Region 1,Old,2737,47729
18,Fontana,California,Region 2,Old,3085,63027
19,Kent,Washington,Region 2,Old,2894,43183
20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120
21,Concord,California,Region 2,Old,2521,38178
22,Modesto,California,Region 2,Old,3077,56836
23,Montgomery,Alabama,Region 1,Old,3287,52114
24,Burbank,California,Region 2,Old,3679,20123
25,Elk Grove,California,Region 2,Old,2918,49856
26,Port St. Lucie,Florida,Region 1,Old,2420,55790
27,Elizabeth,New Jersey,Region 1,Old,2557,45017
28,Salt Lake City,Utah,Region 2,Old,3620,56921
29,Waco,Texas,Region 2,Old,2483,39744
30,Edison,New Jersey,Region 1,Old,3131,22972
31,Boulder,Colorado,Region 2,Old,3083,22680
32,Grand Rapids,Michigan,Region 1,Old,2808,65475
33,Tyler,Texas,Region 2,Old,2984,21718
34,Charleston,South Carolina,Region 1,Old,2484,34829
35,Huntsville,Alabama,Region 1,Old,3335,59283
36,Pearland,Texas,Region 2,Old,3127,20057
37,Inglewood,California,Region 2,Old,2904,20455
38,Oxnard,California,Region 2,Old,2318,64302
39,Miramar,Florida,Region 1,Old,3488,49506
40,Cape Coral,Florida,Region 1,Old,2886,52250
41,Syracuse,New York,Region 1,Old,2373,41313
42,Newport News,Virginia,Region 1,Old,2758,57625
43,Lewisville,Texas,Region 2,Old,2607,16029
44,Carrollton,Texas,Region 2,Old,3146,49191
45,San Bernardino,California,Region 2,Old,3399,59870
46,Pasadena,California,Region 2,Old,2790,48254
47,Roseville,California,Region 2,Old,3220,43397
48,Murrieta,California,Region 2,Old,2344,16372
49,San Angelo,Texas,Region 2,Old,2939,50233
50,Olathe,Kansas,Region 2,Old,3082,41460
51,Akron,Ohio,Region 1,Old,2338,50364
52,Fullerton,California,Region 2,Old,3246,44223
53,Manchester,New Hampshire,Region 1,Old,2374,17006
54,Everett,Washington,Region 2,Old,3129,15562
55,West Covina,California,Region 2,Old,2939,21824
56,Thornton,Colorado,Region 2,Old,2642,46490
57,Hampton,Virginia,Region 1,Old,2871,38782
58,Waterbury,Connecticut,Region 1,Old,3392,19350
59,Ventura,California,Region 2,Old,3228,16652
60,Davenport,Iowa,Region 1,Old,3175,23764
61,Columbia,South Carolina,Region 1,Old,2874,42803
62,Simi Valley,California,Region 2,Old,2792,41110
63,Richmond,California,Region 2,Old,3924,19448
64,Little Rock,Arkansas,Region 2,Old,2440,68828
65,El Cajon,California,Region 2,Old,2950,19529
66,Santa Clara,California,Region 2,Old,2462,29008
67,Oceanside,California,Region 2,Old,3084,55684
68,Davie,Florida,Region 1,Old,3177,45418
69,Lakeland,Florida,Region 1,Old,3003,18297
70,Centennial,Colorado,Region 2,Old,3697,18966
71,Lowell,Massachusetts,Region 1,Old,2857,18838
72,Ontario,California,Region 2,Old,3168,52078
73,Palm Bay,Florida,Region 1,Old,2943,25321
74,Murfreesboro,Tennessee,Region 2,Old,2777,40545
75,Vancouver,Washington,Region 2,Old,3329,58951
76,Topeka,Kansas,Region 2,Old,2854,40921
77,West Valley City,Utah,Region 2,Old,2555,49609
78,New Haven,Connecticut,Region 1,Old,3162,45550
79,Pueblo,Colorado,Region 2,Old,2928,19563
80,Costa Mesa,California,Region 2,Old,2275,41361
81,Garden Grove,California,Region 2,Old,3285,57530
82,Fort Lauderdale,Florida,Region 1,Old,3217,54768
83,North Charleston,South Carolina,Region 1,Old,3115,18754
84,Cambridge,Massachusetts,Region 1,Old,2779,21286
85,Greeley,Colorado,Region 2,Old,3277,48796
86,Gresham,Oregon,Region 2,Old,2745,19708
87,Amarillo,Texas,Region 2,Old,3984,56089
88,High Point,North Carolina,Region 1,Old,3262,19752
89,Vista,California,Region 2,Old,2718,20949
90,Tacoma,Washington,Region 2,Old,2552,45666
91,Mesquite,Texas,Region 2,Old,3072,40779
92,Augusta,Georgia,Region 1,Old,2676,47482
93,Elgin,Illinois,Region 1,Old,2553,18215
94,Aurora,Illinois,Region 1,Old,2685,50650
95,Gainesville,Florida,Region 1,Old,2990,48933
96,Dayton,Ohio,Region 1,Old,2805,42026
97,Wichita Falls,Texas,Region 2,Old,2846,15735
98,Naperville,Illinois,Region 1,Old,2699,39856
99,Clovis,California,Region 2,Old,2901,20669
100,Billings,Montana,Region 1,Old,3015,20541
101,Surprise,Arizona,Region 2,Old,2160,33647
102,Coral Springs,Florida,Region 1,Old,3079,41319
103,Visalia,California,Region 2,Old,2104,45632
104,Killeen,Texas,Region 2,Old,2962,43773
105,Orange,California,Region 2,Old,2830,36821
106,Richardson,Texas,Region 2,Old,3228,22824
107,South Bend,Indiana,Region 1,Old,3005,21953
108,Fayetteville,North Carolina,Region 1,Old,3020,51229
109,Sioux Falls,South Dakota,Region 1,Old,2947,50583
110,Grand Prairie,Texas,Region 2,Old,3131,50895
111,Stamford,Connecticut,Region 1,Old,2901,46503
112,West Palm Beach,Florida,Region 1,Old,2926,18089
113,Knoxville,Tennessee,Region 2,Old,3086,56504
114,Renton,Washington,Region 2,Old,2754,44635
115,McAllen,Texas,Region 2,Old,2282,43924
116,Woodbridge,New Jersey,Region 1,Old,3319,19811
117,Shreveport,Louisiana,Region 1,Old,3081,56140
118,Bellevue,Washington,Region 2,Old,2542,40462
119,Huntington Beach,California,Region 2,Old,2527,54145
120,Santa Clarita,California,Region 2,Old,2967,51882
121,Sterling Heights,Michigan,Region 1,Old,2357,35022
122,Mobile,Alabama,Region 1,Old,2838,49290
123,Bridgeport,Connecticut,Region 1,Old,2914,47108
124,Daly City,California,Region 2,Old,2658,20703
125,Rochester,Minnesota,Region 1,Old,2854,18099
126,Sandy Springs,Georgia,Region 1,Old,2759,18942
127,Cedar Rapids,Iowa,Region 1,Old,2553,52072
128,Columbus,Georgia,Region 1,Old,2877,55203
129,Moreno Valley,California,Region 2,Old,3507,59254
130,Pompano Beach,Florida,Region 1,Old,2608,21603
131,Savannah,Georgia,Region 1,Old,2028,36029
132,West Jordan,Utah,Region 2,Old,2773,21056
133,Des Moines,Iowa,Region 1,Old,2995,57432
134,Green Bay,Wisconsin,Region 1,Old,3586,18454
135,Santa Rosa,California,Region 2,Old,3067,59060
136,San Mateo,California,Region 2,Old,1811,19426
137,Warren,Michigan,Region 1,Old,2736,47262
138,Norwalk,California,Region 2,Old,3112,19703
139,Lafayette,Louisiana,Region 1,Old,2603,40255
140,Providence,Rhode Island,Region 1,Old,3191,62337
141,Chattanooga,Tennessee,Region 2,New,3587,55357
142,Tempe,Arizona,Region 2,New,2911,48954
143,Joliet,Illinois,Region 1,New,3279,48315
144,Rancho Cucamonga,California,Region 2,New,2945,52366
145,Glendale,California,Region 2,New,2363,49376
146,Paterson,New Jersey,Region 1,New,2251,34603
147,Brownsville,Texas,Region 2,New,3675,63148
148,Rockford,Illinois,Region 1,New,2648,43377
149,College Station,Texas,Region 2,New,2994,22457
150,Thousand Oaks,California,Region 2,New,2431,40141
